"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:119","Tribbiani","I don't believe we've met, Joey Tribbiani.","I don't believe we've met, Joey Tribbiani.",1,"`text`"
"Col:text Row:123","Wow","Wow Dennis Phillips!","Wow Dennis Phillips! That's great! How did you guys meet?",1,"`text`"
"Col:text Row:123","Dennis","Wow Dennis Phillips!","Wow Dennis Phillips! That's great! How did you guys meet?",1,"`text`"
"Col:text Row:123","Phillips","Wow Dennis Phillips!","Wow Dennis Phillips! That's great! How did you guys meet?",1,"`text`"
"Col:text Row:125","Ha","Funny: Ha-Ha","Funny: Ha-Ha Or Funny",1,"`text`"
"Col:text Row:125","Ha","Funny: Ha-Ha","Funny: Ha-Ha Or Funny",1,"`text`"
"Col:text Row:128","Ross","(Ross starts looking for table six and finds out that it's the kid's table.","(Ross starts looking for table six and finds out that it's the kid's table. He sees Mona sitting at another table.)",1,"`text`"
"Col:text Row:128","Mona","He sees Mona sitting at another table.)","(Ross starts looking for table six and finds out that it's the kid's table. He sees Mona sitting at another table.)",1,"`text`"
"Col:text Row:132","Chandler","[Cut to the hallway, Chandler is putting tape on the bottom of his shoes.]","[Cut to the hallway, Chandler is putting tape on the bottom of his shoes.]",1,"`text`"
"Col:text Row:133","Chandler","Chandler.","Chandler. Will you see if your mom can give my resume to Dennis Phillips? 'Cause if I can get in a Broadway show then I would've done it all, film, television, and theater. The only think left would be radio, and that's just for ugly people.",1,"`text`"
"Col:text Row:133","Dennis","Will you see if your mom can give my resume to Dennis Phillips?","Chandler. Will you see if your mom can give my resume to Dennis Phillips? 'Cause if I can get in a Broadway show then I would've done it all, film, television, and theater. The only think left would be radio, and that's just for ugly people.",1,"`text`"
"Col:text Row:133","Phillips","Will you see if your mom can give my resume to Dennis Phillips?","Chandler. Will you see if your mom can give my resume to Dennis Phillips? 'Cause if I can get in a Broadway show then I would've done it all, film, television, and theater. The only think left would be radio, and that's just for ugly people.",1,"`text`"
"Col:text Row:133","Broadway","'Cause if I can get in a Broadway show then I would've done it all, film, television, and theater.","Chandler. Will you see if your mom can give my resume to Dennis Phillips? 'Cause if I can get in a Broadway show then I would've done it all, film, television, and theater. The only think left would be radio, and that's just for ugly people.",1,"`text`"
"Col:text Row:140","Monica","[Cut to Monica and Rachel at their table.]","[Cut to Monica and Rachel at their table.]",1,"`text`"
"Col:text Row:140","Rachel","[Cut to Monica and Rachel at their table.]","[Cut to Monica and Rachel at their table.]",1,"`text`"
"Col:text Row:141","Phoebe","Can you believe Phoebe got pregnant?!","Can you believe Phoebe got pregnant?!",1,"`text`"
"Col:text Row:158","Phoebe","I'm just thinking about Phoebe; poor knocked up Phoebe.","Uh-hmm. I'm just thinking about Phoebe; poor knocked up Phoebe.",1,"`text`"
"Col:text Row:158","Phoebe","I'm just thinking about Phoebe; poor knocked up Phoebe.","Uh-hmm. I'm just thinking about Phoebe; poor knocked up Phoebe.",1,"`text`"
"Col:text Row:159","Champagne","Champagne?","Champagne?",1,"`text`"
"Col:speaker Row:159","Waiter","Waiter","Waiter",1,"`speaker`"
"Col:text Row:161","Monica","(Monica gasps.)","(Monica gasps.)",1,"`text`"
"Col:text Row:162","Phoebe","[Scene: continued from earlier, only now Phoebe joins them.]","[Scene: continued from earlier, only now Phoebe joins them.]",1,"`text`"
"Col:text Row:163","James","Well, I just got off the phone with my lover, James Brolin...","Well, I just got off the phone with my lover, James Brolin...",1,"`text`"
"Col:text Row:163","Brolin","Well, I just got off the phone with my lover, James Brolin...","Well, I just got off the phone with my lover, James Brolin...",1,"`text`"
"Col:text Row:165","James","And I said, ""James, James Brolin, are you sure?""","Yes, and apparently he is married to some singer, but he said he would leave her for me. And I said, ""James, James Brolin, are you sure?"" James Brolin said...",1,"`text`"
"Col:text Row:165","James","And I said, ""James, James Brolin, are you sure?""","Yes, and apparently he is married to some singer, but he said he would leave her for me. And I said, ""James, James Brolin, are you sure?"" James Brolin said...",1,"`text`"
"Col:text Row:165","Brolin","And I said, ""James, James Brolin, are you sure?""","Yes, and apparently he is married to some singer, but he said he would leave her for me. And I said, ""James, James Brolin, are you sure?"" James Brolin said...",1,"`text`"
"Col:text Row:165","James","James Brolin said...","Yes, and apparently he is married to some singer, but he said he would leave her for me. And I said, ""James, James Brolin, are you sure?"" James Brolin said...",1,"`text`"
"Col:text Row:165","Brolin","James Brolin said...","Yes, and apparently he is married to some singer, but he said he would leave her for me. And I said, ""James, James Brolin, are you sure?"" James Brolin said...",1,"`text`"
"Col:text Row:166","Rachel","Rachel's really the one who's pregnant.","Rachel's really the one who's pregnant.",1,"`text`"
"Col:text Row:195","Dr.","Dr. Geller?","Dr. Geller?",1,"`text`"
"Col:text Row:195","Geller","Dr. Geller?","Dr. Geller?",1,"`text`"
"Col:speaker Row:195","Little","Little Girl","Little Girl",7,"`speaker`"
"Col:speaker Row:195","Girl","Little Girl","Little Girl",7,"`speaker`"
"Col:text Row:197","Dr.","Dr. Geller, will you dance with me?","Dr. Geller, will you dance with me?",1,"`text`"
"Col:text Row:197","Geller","Dr. Geller, will you dance with me?","Dr. Geller, will you dance with me?",1,"`text`"
"Col:text Row:201","Unless","Unless, uh this lady wouldn't mind letting you go first.","Uh, unless! Unless, uh this lady wouldn't mind letting you go first.",1,"`text`"
"Col:text Row:210","Dennis","Did you talk to Dennis about me yet?","Hey! Did you talk to Dennis about me yet?",1,"`text`"
"Col:text Row:215","Joey","[Joey walks back inside just as Ross's dance is finishing.]","[Joey walks back inside just as Ross's dance is finishing.]",1,"`text`"
"Col:text Row:215","Ross","[Joey walks back inside just as Ross's dance is finishing.]","[Joey walks back inside just as Ross's dance is finishing.]",1,"`text`"
"Col:text Row:217","Miranda","No-no, thank you Miranda.","No-no, thank you Miranda.",1,"`text`"
"Col:text Row:218","Melinda","Melinda!","Melinda!",1,"`text`"
"Col:speaker Row:223","Second","Second Girl","Second Girl",2,"`speaker`"
"Col:speaker Row:223","Girl","Second Girl","Second Girl",2,"`speaker`"
"Col:text Row:230","Monica","To Monica and Chandler, the greatest couple in the world.","I'd like to propose a toast. To Monica and Chandler, the greatest couple in the world. And my best friends. Now, my when I first found out they were getting married I was, I was a little angry. I was like, ""Why God? Why? How can you take them away from me?!"" But then I thought back over all our memories together, some happy memories. And-and there was some sad memories. I'm sorry. And-and some scared memories-Whoa! Eh? And then, and then I realized I'll always be their friend, their friend who can speak in many dialects and has training in stage combat and is willing to do partial nudity. Oh! To the happy couple!",1,"`text`"
"Col:text Row:230","Chandler","To Monica and Chandler, the greatest couple in the world.","I'd like to propose a toast. To Monica and Chandler, the greatest couple in the world. And my best friends. Now, my when I first found out they were getting married I was, I was a little angry. I was like, ""Why God? Why? How can you take them away from me?!"" But then I thought back over all our memories together, some happy memories. And-and there was some sad memories. I'm sorry. And-and some scared memories-Whoa! Eh? And then, and then I realized I'll always be their friend, their friend who can speak in many dialects and has training in stage combat and is willing to do partial nudity. Oh! To the happy couple!",1,"`text`"
"Col:text Row:230","God","I was like, ""Why God?","I'd like to propose a toast. To Monica and Chandler, the greatest couple in the world. And my best friends. Now, my when I first found out they were getting married I was, I was a little angry. I was like, ""Why God? Why? How can you take them away from me?!"" But then I thought back over all our memories together, some happy memories. And-and there was some sad memories. I'm sorry. And-and some scared memories-Whoa! Eh? And then, and then I realized I'll always be their friend, their friend who can speak in many dialects and has training in stage combat and is willing to do partial nudity. Oh! To the happy couple!",1,"`text`"
"Col:text Row:230","Whoa","And-and some scared memories-Whoa!","I'd like to propose a toast. To Monica and Chandler, the greatest couple in the world. And my best friends. Now, my when I first found out they were getting married I was, I was a little angry. I was like, ""Why God? Why? How can you take them away from me?!"" But then I thought back over all our memories together, some happy memories. And-and there was some sad memories. I'm sorry. And-and some scared memories-Whoa! Eh? And then, and then I realized I'll always be their friend, their friend who can speak in many dialects and has training in stage combat and is willing to do partial nudity. Oh! To the happy couple!",1,"`text`"
"Col:text Row:231","Time","[Time Lapse, the interrupted song is finishing.]","[Time Lapse, the interrupted song is finishing.]",1,"`text`"
"Col:text Row:231","Lapse","[Time Lapse, the interrupted song is finishing.]","[Time Lapse, the interrupted song is finishing.]",1,"`text`"
"Col:text Row:233","Ashley","That was very nice Ashley.","That was very nice Ashley.",1,"`text`"
"Col:speaker Row:234","Ashley","Ashley","Ashley",1,"`speaker`"
"Col:speaker Row:238","Fat","Fat Girl","Fat Girl",2,"`speaker`"
"Col:speaker Row:238","Girl","Fat Girl","Fat Girl",2,"`speaker`"
"Col:text Row:242","Gert","Gert!","Gert!",1,"`text`"
"Col:text Row:243","Whoa","Whoa!","That's, that's pretty. Whoa! Whoa! Whoa! What are you doing there Gert?",1,"`text`"
"Col:text Row:243","Whoa","Whoa!","That's, that's pretty. Whoa! Whoa! Whoa! What are you doing there Gert?",1,"`text`"
"Col:text Row:243","Whoa","Whoa!","That's, that's pretty. Whoa! Whoa! Whoa! What are you doing there Gert?",1,"`text`"
"Col:text Row:243","Gert","What are you doing there Gert?","That's, that's pretty. Whoa! Whoa! Whoa! What are you doing there Gert?",1,"`text`"
"Col:speaker Row:244","Gert","Gert","Gert",3,"`speaker`"
"Col:text Row:245","Gert","Hop on Gert.","Okay. Hop on Gert.",1,"`text`"
"Col:text Row:250","Joey","[Cut to Joey going over to talk to Dennis Phillips.]","[Cut to Joey going over to talk to Dennis Phillips.]",1,"`text`"
"Col:text Row:250","Dennis","[Cut to Joey going over to talk to Dennis Phillips.]","[Cut to Joey going over to talk to Dennis Phillips.]",1,"`text`"
"Col:text Row:250","Phillips","[Cut to Joey going over to talk to Dennis Phillips.]","[Cut to Joey going over to talk to Dennis Phillips.]",1,"`text`"
"Col:text Row:252","God","Oh my God, that was for my benefit?","Oh my God, that was for my benefit?",1,"`text`"
"Col:text Row:254","umm","Look umm Joey, I-I don't think you're quite right for this project.","Look umm Joey, I-I don't think you're quite right for this project.",1,"`text`"
"Col:text Row:254","Joey","Look umm Joey, I-I don't think you're quite right for this project.","Look umm Joey, I-I don't think you're quite right for this project.",1,"`text`"
"Col:text Row:258","God","Oh my God!","Oh my God! No-no-no! Please! Please! Don't-don't-don't!",1,"`text`"
"Col:text Row:259","Monica","[Cut to Monica walking up to Chandler.]","[Cut to Monica walking up to Chandler.]",1,"`text`"
"Col:text Row:259","Chandler","[Cut to Monica walking up to Chandler.]","[Cut to Monica walking up to Chandler.]",1,"`text`"
"Col:text Row:265","Mr.","(Mr. Geller dances over.)","(Mr. Geller dances over.)",1,"`text`"
"Col:text Row:265","Geller","(Mr. Geller dances over.)","(Mr. Geller dances over.)",1,"`text`"
"Col:text Row:266","Chandler","Chandler, I'm gonna have you arrested.","Chandler, I'm gonna have you arrested.",1,"`text`"
"Col:speaker Row:266","Jack","Jack Geller","Jack Geller",2,"`speaker`"
"Col:speaker Row:266","Geller","Jack Geller","Jack Geller",2,"`speaker`"
"Col:text Row:269","Women","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]",1,"`text`"
"Col:text Row:269","Restroom","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]",1,"`text`"
"Col:text Row:269","Rachel","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]",1,"`text`"
"Col:text Row:269","Phoebe","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]",1,"`text`"
"Col:text Row:269","Rachel","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]","[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]",1,"`text`"
"Col:text Row:273","Rachel","Rachel,","Did I miss it? Rachel, I-I want you to know that, if it's positive, we're gonna...",1,"`text`"
"Col:speaker Row:277","Girls","The Girls","The Girls",1,"`speaker`"
"Col:text Row:278","Rach","Go ahead Rach.","Go ahead Rach.",1,"`text`"
"Col:text Row:286","God","God.","Oh. Oh. Well there you go. Whew! That is-that's great-that is really great-great news. Y'know 'cause the whole not being ready and kinda the financial aspects, all that. Whew. Wow, this is so just the way it was supposed to be. God.",1,"`text`"
"Col:text Row:289","God","God this is so stupid!","Thanks. God this is so stupid! How could I be upset over something I never had? It's negative?",1,"`text`"
"Col:text Row:303","People","Dedicated to the People of New York City","Dedicated to the People of New York City",1,"`text`"
"Col:text Row:303","New","Dedicated to the People of New York City","Dedicated to the People of New York City",1,"`text`"
"Col:text Row:303","York","Dedicated to the People of New York City","Dedicated to the People of New York City",1,"`text`"
"Col:text Row:303","City","Dedicated to the People of New York City","Dedicated to the People of New York City",1,"`text`"
"Col:text Row:304","Joey","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]",1,"`text`"
"Col:text Row:304","Ross","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]",1,"`text`"
"Col:text Row:304","Gert","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]",1,"`text`"
"Col:text Row:304","Mona","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]","[Scene: The Reception, Joey is helping Ross walk after Gert got through with him and Mona is looking on concerned.]",1,"`text`"
"Col:text Row:312","Joey","It's Joey right?","It's Joey right?",1,"`text`"
