"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:128","Phoebe","Phoebe, it's not Gunther.","No! Phoebe, it's not Gunther.",1,"`text`"
"Col:text Row:129","God","God, 'cause that hair on a baby...","Thank God, 'cause that hair on a baby...",1,"`text`"
"Col:text Row:137","Band","It's like, it's like ripping off this Band-Aid.","You're thinking about this way too much. Just tell him and get it over with. It's like, it's like ripping off this Band-Aid. Quick and painless, watch. Oh mother of...See?",1,"`text`"
"Col:text Row:137","Aid","It's like, it's like ripping off this Band-Aid.","You're thinking about this way too much. Just tell him and get it over with. It's like, it's like ripping off this Band-Aid. Quick and painless, watch. Oh mother of...See?",1,"`text`"
"Col:text Row:137","See","Oh mother of...See?","You're thinking about this way too much. Just tell him and get it over with. It's like, it's like ripping off this Band-Aid. Quick and painless, watch. Oh mother of...See?",1,"`text`"
"Col:text Row:138","Monica","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]",1,"`text`"
"Col:text Row:138","Chandler","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]",1,"`text`"
"Col:text Row:138","Obsessive","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]",1,"`text`"
"Col:text Row:138","Monica","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]","[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]",1,"`text`"
"Col:text Row:140","I","I mean I-Joey I am out of control!!","No! No! I shouldn't have even opened these! I mean I-Joey I am out of control!! Joey, you have to do me a favor. No matter what I say, no matter what I do, please do not let me open another present! Okay?",1,"`text`"
"Col:text Row:140","Joey","I mean I-Joey I am out of control!!","No! No! I shouldn't have even opened these! I mean I-Joey I am out of control!! Joey, you have to do me a favor. No matter what I say, no matter what I do, please do not let me open another present! Okay?",1,"`text`"
"Col:text Row:145","Uh","Uh Pheebs?","Oh good, uh you're here. Uh Pheebs? Listen uh sit down. I-I got something I want to say.",1,"`text`"
"Col:text Row:145","Pheebs","Uh Pheebs?","Oh good, uh you're here. Uh Pheebs? Listen uh sit down. I-I got something I want to say.",1,"`text`"
"Col:text Row:147","Phoebe","Phoebe Buffay, will you marry me?","Umm, now uh... It's a scary world out there, especially for a single mom. Y'know, now I always thought you and I had a special bond so... Phoebe Buffay, will you marry me?",1,"`text`"
"Col:text Row:147","Buffay","Phoebe Buffay, will you marry me?","Umm, now uh... It's a scary world out there, especially for a single mom. Y'know, now I always thought you and I had a special bond so... Phoebe Buffay, will you marry me?",1,"`text`"
"Col:text Row:148","God","Oh my God!","Oh my God! Joey!",1,"`text`"
"Col:text Row:148","Joey","Joey!","Oh my God! Joey!",1,"`text`"
"Col:text Row:152","Phoebe","Phoebe!","Phoebe!",1,"`text`"
"Col:text Row:155","Rachel","It's Rachel.","She's not pregnant. It's Rachel. Rachel's the one who's pregnant.",1,"`text`"
"Col:text Row:155","Rachel","Rachel's the one who's pregnant.","She's not pregnant. It's Rachel. Rachel's the one who's pregnant.",1,"`text`"
"Col:text Row:156","God","Oh my God.","Oh my God.",1,"`text`"
"Col:text Row:158","Phoebe","Phoebe I think he would notice if you didn't have a baby in nine months!","Phoebe I think he would notice if you didn't have a baby in nine months!",1,"`text`"
"Col:text Row:159","Joey","It's Joey!","It's Joey!",1,"`text`"
"Col:text Row:160","Rachel","Rachel's pregnant?","Now I can't believe it! What? Rachel's pregnant? Who's the father?",1,"`text`"
"Col:text Row:166","Rachel","About a month ago this guy spent the night with Rachel, I didn't see who it was but...","About a month ago this guy spent the night with Rachel, I didn't see who it was but...",1,"`text`"
"Col:text Row:170","God","Oh my God!","Oh my God! I know who the father is...",1,"`text`"
"Col:text Row:172","Banquet","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]",1,"`text`"
"Col:text Row:172","Room","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]",1,"`text`"
"Col:text Row:172","Ross","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]",1,"`text`"
"Col:text Row:172","Chandler","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]","[Scene: The Banquet Room, Ross and Chandler are in their tuxes and have started to fake the pictures.]",1,"`text`"
"Col:speaker Row:174","Woman","Woman At The Wedding","Woman At The Wedding",3,"`speaker`"
"Col:text Row:183","Ansel","Ansel Adams?!","Who are you? Ansel Adams?! Get outta here!",1,"`text`"
"Col:text Row:183","Adams","Ansel Adams?!","Who are you? Ansel Adams?! Get outta here!",1,"`text`"
"Col:text Row:184","Outside","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]",1,"`text`"
"Col:text Row:184","Central","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]","[Scene: Outside Central Perk, Rachel and Phoebe are about to go inside.]",1,"`text`"
