text,speaker,season,episode,scene,utterance
What?!,Rachel Green,8,1,4,10
"When I got pregnant with the triplets, I took that test like three times just to make sure.",Phoebe Buffay,8,1,4,11
Yes! Maybe it's a false positive. Are you sure you peed on the stick right?,Monica Geller,8,1,4,12
How many ways are there to do that?,Rachel Green,8,1,4,13
"I'm-I'm just saying, don't freak out until you're a hundred percent sure.",Phoebe Buffay,8,1,4,14
"All right, I'll-I'll take it again when I get home.",Rachel Green,8,1,4,15
"You-you gotta take it now. Come on, do it as a present to me.",Monica Geller,8,1,4,16
Okay. Thank you.,Rachel Green,8,1,4,17
Okay.,Monica Geller,8,1,4,18
I'll run out and get you one.,Phoebe Buffay,8,1,4,19
"Oh, you guys are so great.",Rachel Green,8,1,4,20
"Oh, wait a minute! Who's is the father?!",Monica Geller,8,1,4,21
"Oh no, she won't tell us.",Phoebe Buffay,8,1,4,22
"Oh, come on it's my wedding! That can be my present.",Monica Geller,8,1,4,23
"Wh-Hey, I just gave you peeing on a stick.",Rachel Green,8,1,4,24
See? This is why you register.,Phoebe Buffay,8,1,4,25
[Cut to Ross at the kiddie table. He reaches for something and a fart noise emanates which causes the kids to laugh.],Scene Directions,8,1,4,26
"It was the chair again! Okay? I'm not doing it! It what-look, I don't-y'know what-eh-eh... Hi.",Ross Geller,8,1,4,27
Hi!,Mona,8,1,4,28
"Umm, would you like to dance?",Ross Geller,8,1,4,29
Sure.,Mona,8,1,4,30
Yeah?,Ross Geller,8,1,4,31
Yeah.,Mona,8,1,4,32
Oh great!,Ross Geller,8,1,4,33
Dr. Geller?,Little Girl,8,1,4,34
"I wasn't farting! Uh, a little game from our table. Yes?",Ross Geller,8,1,4,35
"Dr. Geller, will you dance with me?",Little Girl,8,1,4,36
"Oh umm, well uh, maybe-maybe later. Right now, I'm about to dance with this lady.",Ross Geller,8,1,4,37
Okay.,Little Girl,8,1,4,38
Ohhhh!,Mona,8,1,4,39
"Uh, unless! Unless, uh this lady wouldn't mind letting you go first.",Ross Geller,8,1,4,40
I'd be happy to. You are very sweet.,Mona,8,1,4,41
"Yes I-I am. In fact umm hey, why don't we try it my special way? You can dance on my feet.",Ross Geller,8,1,4,42
Sure!,Little Girl,8,1,4,43
Yeah? Hop on. Is the pretty lady looking?,Ross Geller,8,1,4,44
Uh-huh.,Little Girl,8,1,4,45
Keep dancing.,Ross Geller,8,1,4,46
[Cut to Chandler in the hallway practicing dancing and is doing it very well.],Scene Directions,8,1,4,47
And the world will never know.,Chandler Bing,8,1,4,48
Hey! Did you talk to Dennis about me yet?,Joey Tribbiani,8,1,4,49
"Yes, I told him how talented you were. I told him all about Days Of Our Lives.",Chandler Bing,8,1,4,50
No-no! No! No! You don't tell a Broadway guy that! Now he just thinks I'm a soap actor.,Joey Tribbiani,8,1,4,51
But you're not just a soap actor. You are a soap actor with freakishly tiny feet.,Chandler Bing,8,1,4,52
Hey!,Joey Tribbiani,8,1,4,53
[Joey walks back inside just as Ross's dance is finishing.],Scene Directions,8,1,4,54
Thank you.,Little Girl,8,1,4,55
"No-no, thank you Miranda.",Ross Geller,8,1,4,56
Melinda!,Little Girl,8,1,4,57
All right.,Ross Geller,8,1,4,58
How cute was that?,Mona,8,1,4,59
"Oh-oh, were you, were you watching?",Ross Geller,8,1,4,60
(Another little girl walks over to him.),Scene Directions,8,1,4,61
Can I go next?,Second Girl,8,1,4,62
What? Of course you can! Hop on!,Ross Geller,8,1,4,63
"Okay, but I get to hop on after her.",Mona,8,1,4,64
I am so gonna score.,Ross Geller,8,1,4,65
What?,Second Girl,8,1,4,66
I like your bow.,Ross Geller,8,1,4,67
"[Behind them, Joey goes up to the bandleader and interrupts the song.]",Scene Directions,8,1,4,68
"I'd like to propose a toast. To Monica and Chandler, the greatest couple in the world. And my best friends. Now, my when I first found out they were getting married I was, I was a little angry. I was like, ""Why God? Why? How can you take them away from me?!"" But then I thought back over all our memories together, some happy memories. And-and there was some sad memories. I'm sorry. And-and some scared memories-Whoa! Eh? And then, and then I realized I'll always be their friend, their friend who can speak in many dialects and has training in stage combat and is willing to do partial nudity. Oh! To the happy couple!",Joey Tribbiani,8,1,4,69
"[Time Lapse, the interrupted song is finishing.]",Scene Directions,8,1,4,70
Thank you.,Bandleader,8,1,4,71
That was very nice Ashley.,Ross Geller,8,1,4,72
Can we do it again?,Ashley,8,1,4,73
No-no.,Ross Geller,8,1,4,74
"So, is it my turn now?",Mona,8,1,4,75
(A large little fat girl walks over.),Scene Directions,8,1,4,76
I'm next!,Fat Girl,8,1,4,77
Oh!,Ross Geller,8,1,4,78
"Uh, that's okay. You can dance with her first.",Mona,8,1,4,79
"Oh, you-you sure? Okay. Okay. So what's uh, what's your name.",Ross Geller,8,1,4,80
Gert!,Fat Girl,8,1,4,81
"That's, that's pretty. Whoa! Whoa! Whoa! What are you doing there Gert?",Ross Geller,8,1,4,82
Dancing on your feet! Like the other girls did it.,Gert,8,1,4,83
Okay. Hop on Gert.,Ross Geller,8,1,4,84
Why aren't you moving your feet?,Gert,8,1,4,85
I'm trying.,Ross Geller,8,1,4,86
Faster! You're not going fast enough!,Gert,8,1,4,87
Maybe I should stand on your feet!,Ross Geller,8,1,4,88
[Cut to Joey going over to talk to Dennis Phillips.],Scene Directions,8,1,4,89
"So did you uh, happen to catch my toast up there?",Joey Tribbiani,8,1,4,90
"Oh my God, that was for my benefit?",Dennis Phillips,8,1,4,91
"Well, I'd like to think there was something for everyone. Look, I know you're casting for this new show...",Joey Tribbiani,8,1,4,92
"Look umm Joey, I-I don't think you're quite right for this project.",Dennis Phillips,8,1,4,93
"Oh, see that's where you're wrong. Whatever it is I can do it. And if didn't see it up there, just-just try me.",Joey Tribbiani,8,1,4,94
It's an all Chinese cast. Can you be Chinese?,Dennis Phillips,8,1,4,95
"Well I'm not proud of this, but...",Joey Tribbiani,8,1,4,96
Oh my God! No-no-no! Please! Please! Don't-don't-don't!,Dennis Phillips,8,1,4,97
[Cut to Monica walking up to Chandler.],Scene Directions,8,1,4,98
"Hey, are you ready to get back on the dance floor?",Monica Geller,8,1,4,99
Did it turn into sand?,Chandler Bing,8,1,4,100
"Ohh come on, I love this song! Come on, you'll be fine.",Monica Geller,8,1,4,101
"No. No, I won't. Do you know why I took all those lessons? See, for the first time I didn't want you to be embarrassed to be seen on the dance floor with some clumsy idiot.",Chandler Bing,8,1,4,102
"Oh sweetie, you can never embarrass me. Okay, you can easily embarrass me. But come on, it doesn't matter. All right? I married you! So I want to dance on my wedding night with my husband. Come on. Just try not to move your feet at all. There you go.",Monica Geller,8,1,4,103
(Mr. Geller dances over.),Scene Directions,8,1,4,104
"Chandler, I'm gonna have you arrested.",Jack Geller,8,1,4,105
Why?,Chandler Bing,8,1,4,106
You stole my moves.,Jack Geller,8,1,4,107
"[Scene: The Women's Restroom, Rachel and Phoebe are waiting for the outcome of Rachel's second test.]",Scene Directions,8,1,5,1
How much longer?,Rachel Green,8,1,5,2
30 seconds.,Phoebe Buffay,8,1,5,3
"30 seconds, okay.",Rachel Green,8,1,5,4
"Did I miss it? Rachel, I-I want you to know that, if it's positive, we're gonna...",Monica Geller,8,1,5,5
Oh I know. I know.,Rachel Green,8,1,5,6
It's time.,Phoebe Buffay,8,1,5,7
(Another woman starts to enter.),Scene Directions,8,1,5,8
No!!,The Girls,8,1,5,9
Go ahead Rach.,Monica Geller,8,1,5,10
(She goes over to look.),Scene Directions,8,1,5,11
"Oh wait! Y'know what? I can't, I can't look at it. I can't. Somebody else tell me, somebody tell me.",Rachel Green,8,1,5,12
Okay.,Phoebe Buffay,8,1,5,13
Okay.,Rachel Green,8,1,5,14
