text,speaker,season,episode,scene,utterance
All my energy is going into not asking that question. I can't believe I screwed this up!,Chandler Bing,8,2,4,9
I'm sorry man. Here's a thought. This is the same ballroom. There's a band. There's gonna be plenty of dressed up people.,Ross Geller,8,2,4,10
Are you suggesting we dance our troubles away?,Chandler Bing,8,2,4,11
"No-no-no, I'm saying we-we buy more of this at the gift shop, throw our tuxes back on, and take a few pictures. All we have to do is make sure not to get anybody else's faces.",Ross Geller,8,2,4,12
Are you serious?,Chandler Bing,8,2,4,13
I'm just thinking about your new bride at home. Okay? Do-do you really want to start your life together by letting her down?,Ross Geller,8,2,4,14
Marriage advice? Really?!,Chandler Bing,8,2,4,15
"I'm telling you, this looks exactly like your wedding! Aren't these the same flowers?",Ross Geller,8,2,4,16
"I don't know, Monica picked out the flowers.",Chandler Bing,8,2,4,17
What about the chairs?,Ross Geller,8,2,4,18
She picked those out too.,Chandler Bing,8,2,4,19
How about the place settings?,Ross Geller,8,2,4,20
That was her.,Chandler Bing,8,2,4,21
What did you do?,Ross Geller,8,2,4,22
I was in charge of the cameras! Gift shop?,Chandler Bing,8,2,4,23
Hmm.,Ross Geller,8,2,4,24
"[Scene: Central Perk, Rachel is sitting on the couch as Phoebe enters.]",Scene Directions,8,2,5,1
"Hey! Ooh, did you do it yet?",Phoebe Buffay,8,2,5,2
Not yet.,Rachel Green,8,2,5,3
"Oh, well what are you doing here? Are you about to do it? Is it Gunther?",Phoebe Buffay,8,2,5,4
"No! Phoebe, it's not Gunther.",Rachel Green,8,2,5,5
"Thank God, 'cause that hair on a baby...",Phoebe Buffay,8,2,5,6
Phoebe the father is not here okay? I haven't told him yet and I don't think I can tell him at all now!,Rachel Green,8,2,5,7
Why not?,Phoebe Buffay,8,2,5,8
"I don't know, let me think. I was walking down the street thinking, 'I'm gonna tell the father today' and then bam!",Rachel Green,8,2,5,9
Bus?,Phoebe Buffay,8,2,5,10
"No, you! Phoebe you freaked me out. You kept saying how huge this all is!",Rachel Green,8,2,5,11
Well-well but it is huge.,Phoebe Buffay,8,2,5,12
"I know, but I was just thinking about how huge this is for me. I didn't even go to how huge this was going to be for the father.",Rachel Green,8,2,5,13
"You're thinking about this way too much. Just tell him and get it over with. It's like, it's like ripping off this Band-Aid. Quick and painless, watch. Oh mother of...See?",Phoebe Buffay,8,2,5,14
"[Scene: Monica and Chandler's, Obsessive Monica has now opened more of the wedding gifts.]",Scene Directions,8,2,6,1
Ooh-ooh-ooh! Are we opening presents?,Joey Tribbiani,8,2,6,2
"No! No! I shouldn't have even opened these! I mean I-Joey I am out of control!! Joey, you have to do me a favor. No matter what I say, no matter what I do, please do not let me open another present! Okay?",Monica Geller,8,2,6,3
Okay.,Joey Tribbiani,8,2,6,4
Give me one more.,Monica Geller,8,2,6,5
Okay.,Joey Tribbiani,8,2,6,6
Hey.,Phoebe Buffay,8,2,6,7
"Oh good, uh you're here. Uh Pheebs? Listen uh sit down. I-I got something I want to say.",Joey Tribbiani,8,2,6,8
All right.,Phoebe Buffay,8,2,6,9
"Umm, now uh... It's a scary world out there, especially for a single mom. Y'know, now I always thought you and I had a special bond so... Phoebe Buffay, will you marry me?",Joey Tribbiani,8,2,6,10
Oh my God! Joey!,Monica Geller,8,2,6,11
Hell yeah! I'll marry you!,Phoebe Buffay,8,2,6,12
You can't marry him!,Monica Geller,8,2,6,13
"Hey lady, your day's over! It's my turn!",Phoebe Buffay,8,2,6,14
Phoebe!,Monica Geller,8,2,6,15
Why?! Why can't she marry me?!,Joey Tribbiani,8,2,6,16
I can and I will!,Phoebe Buffay,8,2,6,17
She's not pregnant. It's Rachel. Rachel's the one who's pregnant.,Monica Geller,8,2,6,18
Oh my God.,Joey Tribbiani,8,2,6,19
Hey!,Phoebe Buffay,8,2,6,20
Phoebe I think he would notice if you didn't have a baby in nine months!,Monica Geller,8,2,6,21
It's Joey!,Phoebe Buffay,8,2,6,22
Now I can't believe it! What? Rachel's pregnant? Who's the father?,Joey Tribbiani,8,2,6,23
We don't know.,Phoebe Buffay,8,2,6,24
Ohh... I wonder if that dude.,Joey Tribbiani,8,2,6,25
There's a dude?,Monica Geller,8,2,6,26
Yeah.,Joey Tribbiani,8,2,6,27
Who? Who is it?,Phoebe Buffay,8,2,6,28
"About a month ago this guy spent the night with Rachel, I didn't see who it was but...",Joey Tribbiani,8,2,6,29
Was that story over?,Phoebe Buffay,8,2,6,30
(They follow him and meet him in the hall coming out of his apartment carrying a sweater.),Scene Directions,8,2,6,31
The guy left this.,Joey Tribbiani,8,2,6,32
Oh my God! I know who the father is...,Phoebe Buffay,8,2,6,33
