text,speaker,season,episode,scene,utterance
"Whoa! Whoa! Whoa! Treeger, what are you doing?",Joey Tribbiani,8,3,4,7
You said there was a gas leak in here.,Mr. Treeger,8,3,4,8
Well why don't you use your key?,Phoebe Buffay,8,3,4,9
"Because by the time I find it on this thing , the whole place might have exploded. If that happens at another building that I manage, people are gonna start asking questions. Come on! Hurry up.",Mr. Treeger,8,3,4,10
(With a final swing the door gives way.),Scene Directions,8,3,4,11
Oh! We could have done that.,Phoebe Buffay,8,3,4,12
"[Scene: The Airport, Chandler and Monica are following the previous couple through a tiny hallway that proves this is a set on a sound stage and not an actual airport, and see them enter the first class lounge.]",Scene Directions,8,3,5,1
Look at that! Look at that! They're going into the first class lounge! Do you know what they have in there?,Monica Geller,8,3,5,2
No.,Chandler Bing,8,3,5,3
Me neither! We have to get in!,Monica Geller,8,3,5,4
Just act like you belong.,Chandler Bing,8,3,5,5
Oh my God! Oranges!,Monica Geller,8,3,5,6
Shh! Nice to see you again.,Chandler Bing,8,3,5,7
"Uh sir, may I see your tickets please?",Airline Employee,8,3,5,8
"Yes, of course.",Chandler Bing,8,3,5,9
"I'm sorry, would you move your thumb? I can't see the seat number.",Airline Employee,8,3,5,10
"Oh that's all right, I have it memorized. It's 1A.",Chandler Bing,8,3,5,11
"Sir, this is not a first class ticket. I'm sorry.",Airline Employee,8,3,5,12
Apology accepted. Excuse us.,Chandler Bing,8,3,5,13
Sir! I'm afraid I'm gonna have to ask you to leave.,Airline Employee,8,3,5,14
Fine. Go! Go! Go!,Monica Geller,8,3,5,15
"[Scene: The Hallway Outside Ross's Apartment, Ross is walking towards his apartment and sees Rachel sitting in front of the door.]",Scene Directions,8,3,6,1
Hi!,Rachel Green,8,3,6,2
Hi.,Ross Geller,8,3,6,3
"Hi. Umm, I think there's something that we really need to talk about.",Rachel Green,8,3,6,4
"I think we do. Why don't we go inside? Look uh, I know why you're here.",Ross Geller,8,3,6,5
You do?,Rachel Green,8,3,6,6
"Yeah, and to save you from any embarrassment umm, I think maybe I should talk first.",Ross Geller,8,3,6,7
Okay.,Rachel Green,8,3,6,8
"Okay. Uh, Ross and Rachel. Rachel and Ross. That's been one heck of a see-saw hasn't it?",Ross Geller,8,3,6,9
What?,Rachel Green,8,3,6,10
"I mean look, that-that one night we had was fun and...and certainly passionate, but don't you think it's better if we just stayed friends?",Ross Geller,8,3,6,11
Seriously. What?!,Rachel Green,8,3,6,12
